mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
137.783,0.498,0.561,0.006,1.639,0.445,2.651,24.163,0.0
128.874,0.505,0.12300000000000001,0.005,1.567,0.402,2.097,18.9,0.0
140.246,0.52,0.091,0.004,1.513,0.343,1.951,14.701,0.0
145.233,0.524,0.077,0.004,1.457,0.319,1.856,15.887,0.0
158.916,0.532,0.069,0.004,1.4,0.3,1.7719999999999998,15.209,0.0
161.282,0.544,0.055,0.003,1.3230000000000002,0.29600000000000004,1.6780000000000002,15.123,0.0
161.967,0.5720000000000001,0.052000000000000005,0.003,1.2590000000000001,0.285,1.599,16.226,0.0
175.625,0.596,0.039,0.003,1.167,0.29,1.5,18.002,0.0
161.656,0.599,0.04,0.003,1.156,0.28600000000000003,1.486,15.22,0.0
162.15,0.606,0.03,0.003,1.0959999999999999,0.297,1.4269999999999998,16.500999999999998,0.0
154.395,0.644,0.031,0.003,1.041,0.293,1.368,13.395,0.0
170.192,0.662,0.040999999999999995,0.003,0.9990000000000001,0.31,1.3530000000000002,14.030999999999999,0.0
165.437,0.67,0.046,0.003,0.968,0.284,1.3,13.370999999999999,0.0
153.571,0.684,0.027999999999999997,0.003,0.914,0.293,1.238,13.515,0.0
172.359,0.7,0.04,0.003,0.884,0.28800000000000003,1.214,12.372,0.0
163.592,0.7140000000000001,0.04,0.003,0.836,0.284,1.161,15.825999999999999,0.0
163.394,0.731,0.023,0.003,0.8059999999999999,0.293,1.124,14.802,0.0
157.637,0.7340000000000001,0.040999999999999995,0.003,0.778,0.28300000000000003,1.104,14.629000000000001,0.0
149.518,0.7440000000000001,0.047,0.003,0.727,0.281,1.057,16.793,0.0
157.779,0.7559999999999999,0.023,0.003,0.723,0.289,1.038,14.047,0.0
148.613,0.7709999999999999,0.027999999999999997,0.003,0.66,0.297,0.987,14.093,0.0
142.099,0.7659999999999999,0.031,0.003,0.701,0.304,1.0390000000000001,12.257,0.0
137.161,0.764,0.033,0.003,0.7090000000000001,0.28800000000000003,1.033,12.388,0.0
136.784,0.794,0.032,0.003,0.615,0.278,0.9279999999999999,12.880999999999998,0.0
125.84100000000001,0.784,0.031,0.002,0.621,0.28600000000000003,0.941,12.382,0.0
123.085,0.7859999999999999,0.026000000000000002,0.003,0.619,0.285,0.932,12.306,0.0
129.048,0.8079999999999999,0.025,0.002,0.556,0.287,0.87,11.831,0.0
146.134,0.804,0.032,0.003,0.556,0.287,0.877,12.927,0.0
143.849,0.809,0.021,0.002,0.562,0.284,0.8690000000000001,12.718,0.0
140.488,0.8220000000000001,0.027000000000000003,0.002,0.532,0.28600000000000003,0.847,12.56,0.0
145.23,0.836,0.027999999999999997,0.003,0.511,0.287,0.828,12.828,0.0
150.313,0.8240000000000001,0.015,0.002,0.499,0.268,0.784,12.909,0.0
149.36,0.8320000000000001,0.026000000000000002,0.003,0.503,0.267,0.799,12.675999999999998,0.0
143.286,0.828,0.026000000000000002,0.002,0.54,0.256,0.8240000000000001,12.694,0.0
125.78399999999999,0.8340000000000001,0.017,0.002,0.493,0.275,0.7879999999999999,12.839,0.0
128.903,0.8340000000000001,0.022000000000000002,0.002,0.504,0.255,0.784,12.638,0.0
159.306,0.837,0.032,0.002,0.493,0.267,0.795,13.377,0.0
163.879,0.826,0.014,0.002,0.527,0.26,0.803,16.104,0.0
